name,id,fid,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
Traitor,tt0988047,988047.0,114,"['Don Cheadle', 'Guy Pearce', 'Saïd Taghmaoui', 'Neal McDonough', 'Alyy Khan', 'Archie Panjabi', 'Raad Rawi', 'Hassam Ghancy', 'Mozhan Marnò', 'Adeel Akhtar', 'Jeff Daniels', 'Lorena Gale', 'Scali Delpeyrat', 'Mehdi Ortelsberg', 'Abdelkader Aizzoune', 'Mohamed Choubi', 'Farid Regragui', 'Habib Hamdane', 'Youness Sardi', 'Joseph Beddelem', 'Alaa Safi', 'Tom Barnett', 'Simon Reynolds', 'Matt Gordon', 'P. Rodney Barnes', 'Shahla Kareen', 'Ali Momen', 'Paulino Nunes', 'Alexandra Castillo', 'Jeff Kassel', 'Mike McPhaden', 'Dani Jazzar', 'Jonathan Walker', 'José Heuzé', 'Scott Wickware', 'Elias Zarou', 'Catherine Galloway', 'Myriam Blanckaert', 'Nick Alachiotis', 'Alex Poch-Goldin', 'Natasha Roy', 'Yassine Mamadou', 'Omar Mamadou', 'Mostafa Hnini', 'Michaël Troude', 'Rodriguez Gelos', 'Ron Bell', 'Suzy Brack', 'David Clark', 'Sima Fisher', 'Robert Karn', 'John Rainone Jr.', 'Giota Trakas']","['Action', 'Crime', 'Drama', 'Thriller']",['us'],"['en', 'ar']",PG-13,22000000.0,"$10,006,327, 31 Aug 2008",,7.0,53662.0,27 Aug 2008 (USA),Traitor,Jeffrey Nachmanoff,Jeffrey Nachmanoff,,Ashok Amritraj,Don Cheadle,Overture Films,Mandeville Films,Mark Kilian,Billy Fox,James M. Muro,Jaro Dick,Noureddine Aberdine,Danny Albano
Shutter,tt0482599,482599.0,85,"['Joshua Jackson', 'Rachael Taylor', 'Megumi Okina', 'David Denman', 'John Hensley', 'Maya Hazen', 'James Kyson', 'Yoshiko Miyazaki', 'Kei Yamamoto', 'Daisy Betts', 'Adrienne Pickering', 'Pascal Morineau', 'Masaki Ota', 'Heideru Tatsuo', 'Eri Otoguro', 'Rina Matsuki', 'Tomotaka Kanzaki', 'Jun Yakushiji', 'Emi Tamura', 'Polina Kononova', 'Yulia Ryzhova', 'Mika Kinose', 'Masakazu Nagakura', 'Shinji Furukawa', 'Maria Takagi', 'Akihiko Ando', 'Alessandra', 'Katrina B.', 'Tanya Allen', 'Takao Toji', 'Shizuka Fujimoto', 'Yutaka Mishima', 'Maiko Asano', 'Rei Sato', 'Homare Hasegawa', 'Kei Hirosawa', 'Michiyo Kaneko', 'Koichi Kase', 'Yasuke Kawarada', 'Ayuko Koyama', 'Konomi Moriyama', 'Akira Sato', 'Miyoko Yamaguchi', 'Runa Kozuki', 'Natsuki', 'Akihiro Shimomura', 'Gen Takatsuka', 'Natalia Tsvetkova', 'Asya', 'Graziela', 'Ami Fujimoto', 'Miki Hirono', 'Ingrid', 'Ananda', 'Emiko Kondo', 'Liana', 'Tsukasa Minami', 'Asami Momose', 'Nadia', 'Nadiya', 'Natsue Orikawa', 'Zoya', 'Olga Alex', 'Julia G.', 'Ira M.', 'Natalia Silkina', 'Reila Aphrodite', 'Masami Kosaka', 'Rana Morrison', 'Bob Werley']","['Horror', 'Mystery', 'Thriller']",['us'],"['en', 'ja']",PG-13,8000000.0,"$10,447,559, 23 Mar 2008",,5.2,31190.0,19 Mar 2008 (Iceland),Shutter,Masayuki Ochiai,Luke Dawson,,Paiboon Damrongchaitham,Boosaba Daorueng,Regency Enterprises,New Regency Pictures,Nathan Barr,Timothy Alverson,Katsumi Yanagijima,Fumiaki Suzaka,Kazuhiko Kondô,Patrick Flanagan
Loft,tt0926762,926762.0,118,"['Koen De Bouw', 'Filip Peeters', 'Matthias Schoenaerts', 'Bruno Vanden Broecke', 'Koen De Graeve', 'Veerle Baetens', 'Tine Reymer', 'An Miller', 'Charlotte Vandermeersch', 'Wine Dierickx', 'Maaike Cafmeyer', 'Marie Vinck', 'Jan Decleir', 'Gene Bervoets', 'Sara de Roo', 'Dirk Roofthooft', 'Laura Verlinden', 'Ruth Beeckmans', 'Barbara Dzikanowice', 'Ina Geerts', 'Sophie Van Peel', 'Olivier De Smet', 'Carl Van Baelen', 'Ben Mouling', 'Veronique Boubane', 'Lindsay Bervoets', 'Tiffany Van den Brande', 'Pam Borgoo', 'Sara Giulini', 'Tessa Van Winkel', 'Sylvie Kruppa', 'Els Talloen', 'Imke Courtois', 'Véronique Billon', 'Marianne Bolle', 'Nana Jans', 'Adia Panteleeff', 'Britt Van Driessche', 'Bente De Graeve', 'Elise Regaert', 'Cindy Ghijsel', 'Renée Fokker', 'Cela Yildiz']","['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",['be'],"['qbn', 'nl']",,,,,7.3,19999.0,22 Oct 2008 (Belgium),Loft,Erik Van Looy,Bart De Pauw,,Hilde De Laere,,Woestijnvis,,Wolfram de Marco,Philippe Ravoet,Danny Elsen,Olivier Fimmers,Senne Dehandschutter,David Arroyo
Brideshead Revisited,tt0412536,412536.0,133,"['Matthew Goode', 'Thomas Morrison', 'David Barrass', 'Anna Madeley', 'Sarah Crowden', 'Stephen Carlile', 'Peter Barnes', 'Hayley Atwell', 'Patrick Malahide', 'Richard Teverson', 'Joseph Beattie', 'Ben Whishaw', 'Roger Walker', 'Mark Field', 'Mark Edel-Hunt', 'Rita Davies', 'Ed Stoppard', 'Emma Thompson', 'Felicity Jones', 'Geoffrey Wilkinson', 'Michael Gambon', 'Greta Scacchi', 'James Bradshaw', 'Jonathan Cake', 'Tom Wlaschiha', 'Stephane Cornicard', 'Susan Brown', 'Niall Buggy', 'Michael Berendt', 'Shane James Bordas', 'Giada Dobrzenska', 'James Fiddy', 'Will Huntington']","['Drama', 'Romance']","['gb', 'it', 'ma']","['en', 'it', 'ar', 'la', 'fr']",PG-13,20000000.0,,,6.7,11628.0,15 Aug 2008 (USA),Brideshead Revisited,Julian Jarrold,Andrew Davies,Jeremy Brock,Joanna Anderson,Robert Bernstein,Ecosse Films,BBC Films,Adrian Johnston,Chris Gill,Jess Hall,Caroline Smith,Jamal Belmejdoub,Danielle Brooks
Igor,tt0465502,465502.0,87,"['John Cusack', 'Myleene Klass', 'Robin Howard', 'Matt McKenna', 'John Cleese', 'Steve Buscemi', 'Sean Hayes', 'Jess Harnell', 'Eddie Izzard', 'Jennifer Coolidge', 'Jay Leno', 'Molly Shannon', 'Zoë Bright', 'Sophia Eraklis', 'A. Cheron Hall', 'Alexander Leondis', 'Juliana Leondis', 'Michael Leondis', 'Nicole Leondis', 'Robin Tisserand', 'Paul Vogt', 'Kay Cole', 'James Lipton', 'Christian Slater', 'Arsenio Hall', 'Tayah Howard', 'Justin Eick', 'John D. Eraklis', 'Max Howard', 'Tony Leondis', 'Chris McKenna', 'Christopher Maleki', 'Frank Welker']","['Animation', 'Comedy', 'Family', 'Fantasy']","['us', 'fr']",['en'],PG,25000000.0,"$7,803,347, 21 Sep 2008",30720868.0,6.0,21703.0,19 Sep 2008 (USA),Igor,Tony Leondis,Chris McKenna,,Jean-Luc De Fanti,Jamée Deruso,Exodus Film Group,Exodus Productions,Patrick Doyle,Hervé Schneid,,,,Laguerre Aline
Nothing But the Truth,tt1073241,1073241.0,108,"['Kate Beckinsale', 'Matt Dillon', 'Angela Bassett', 'Alan Alda', 'Vera Farmiga', 'David Schwimmer', 'Courtney B. Vance', 'Noah Wyle', 'Floyd Abrams', 'Preston Bailey', 'Kristen Bough', 'Julie Ann Emery', 'Robert Harvey', ""Michael O'Neill"", 'Kristen Shaw', 'Angelica Page', 'Jamey Sheridan', 'Pamela Jones', 'Jennifer McCoy', 'David Bridgewater', 'Jenny Odle Madden', 'Rod Lurie', 'Janie Paris', 'Jim Palmer', 'Clay Chamberlin', 'Joseph Murphy', 'Ashley LeConte Campbell', 'Scott Williamson', 'Dan Abrams', 'Elizabeth Anne Wilson', 'Jon W. Sparks', 'Erin Dangler', 'Randall Hartzog', 'Craig Wright', 'Phil Darius Wallace', 'Kelly Holleman', 'Allen O. Battle III', 'Teri Itkin', 'Angie Gilbert', 'Antonio Morton', 'Blake Brooks', 'Carol Russell-Woloshin', 'Verda Davenport', 'Robert P. Campbell', 'Michael Detroit', 'Jeffrey W. Bailey', 'Garnet Brooks', 'William J. Immerman', ""D'Army Bailey"", 'Lowell Perry', 'Merle Dandridge', 'Steven Bostick', 'James Buchanan', 'T.J. Cates', 'MaConnia Chesser', 'Sharon Coleman', 'Brian Crider', 'Shannon Daulton', 'Josh Driver', 'Geoff Falk', 'Angela Feild', 'Katie Groshong', 'Laurie Johnson', 'Wendell Kinney', 'Donald Meyers', 'Jon Ruffiner', 'Gage Taylor', 'Christian Walker', 'Emily Williams', 'Darius Willis', 'Bradley S. Wright', 'R. Elkins Wright']","['Crime', 'Drama', 'Mystery', 'Thriller']",['us'],['en'],R,11500000.0,"$3,045, 21 Dec 2008",,7.2,34761.0,29 Jul 2009 (Philippines),Nothing But the Truth,Rod Lurie,Rod Lurie,,Dennis Brown,Marc Frydman,Yari Film Group (YFG),Battleplan Productions,Larry Groupé,Sarah Boyd,Alik Sakharov,Leslie Morales,Jim Goldthwait,Chad E. Beck
The Square,tt1085507,1085507.0,105,"['David Roberts', 'Claire van der Boom', 'Peter Phelps', 'Bill Hunter', 'Kieran Darcy-Smith', 'Stephen Weston', 'Lisa Bailey', 'Lucy Bell', 'Anthony Hayes', 'Damon Herriman', 'Brendan Donoghue', 'Luke Doolan', 'Greg Hatton', 'Joel Edgerton', 'Hanna Mangan Lawrence', 'Paul W. He', 'Julian Morrow', 'Eliza Logan', 'Amanda Crompton', 'Mia Irvin', 'Tony Lynch', ""Maree D'Arcy"", 'Jacinta Hocking', 'Paul Caesar', 'Thomas Chippendale', 'Mia Chippendale', 'Tracey Furchtmann']","['Crime', 'Drama', 'Thriller']",['au'],['en'],R,,,,6.7,5256.0,31 Jul 2008 (Australia),The Square,Nash Edgerton,Joel Edgerton,Matthew Dabner,Matthew Dabner,Joel Edgerton,Australian Film Finance Corporation (AFFC),New South Wales Film & Television Office,François Tétaz,Luke Doolan,Brad Shield,Brooke Morris,Drew Bailey,Justin Alvarez
The Children,tt1172571,1172571.0,84,"['Eva Birthistle', 'Stephen Campbell Moore', 'Jeremy Sheffield', 'Rachel Shelley', 'Hannah Tointon', 'Rafiella Brooks', 'Jake Hathaway', 'William Howes', 'Eva Sayer']","['Horror', 'Mystery', 'Thriller']",['gb'],['en'],R,,,,6.0,16402.0,05 Dec 2008 (UK),The Children,Tom Shankland,Paul Andrew Williams,,Célia Duval,Simon Fawcett,Vertigo Films,Aramid Entertainment Fund,Stephen Hilton,Tim Murrell,Nanu Segal,,Andy Hodgson,Jan Berner
Meet the Browns,tt1047494,1047494.0,100,"['Tyler Perry', 'David Mann', 'Tamela J. Mann', 'Angela Bassett', 'Lance Gross', 'Chloe Bailey', 'Mariana Tolbert', 'Rick Fox', 'Sofía Vergara', 'Irma P. Hall', 'Frankie Faison', 'Margaret Avery', 'Jenifer Lewis', 'Lamman Rucker', 'Kris D. Lofton', 'Phillip Edward Van Lear', 'Michael J. King', 'LaVan Davis', 'Olumiji Olawumi', 'Tory O. Davis', 'Mark Russell Gray', 'LaNisa Renee Frederick', 'Brandon Richardson', 'Jonathan Slocumb', 'Robert C. Goodwin', 'Allen D. Edge', 'Keith Kupferer', 'Jacqueline Williams', 'Phil Ridarelli', 'David Kronawitter', 'Roy McCrerey', 'Shawn Shepard', 'Tom Clark', 'Tasia Grant', 'Michael H. Cole', 'Adrienne Reynolds', 'Penny Slusher', 'Wes Kennemore', 'Mia Butler', 'Gerard G. Williams', 'Grace Baine', 'Tim Blanchard', 'Kenneth Bowen', 'Chandler George Brown', 'Gene Bryant', 'Frances Cobb', 'Kenny Cook', 'Ondie Daniel', 'Ricardo Finnis', 'Alec Holmes', 'Barry Hopkins', 'Anthony K. Hyatt', 'Kent Igleheart', 'Charlie Jenkins', 'Natasha Mays', 'Arle Michel', 'Vernon Mitchell', 'Tyler Parks', 'James Pusztay', 'Steve Ryan', 'Gail Silva', 'Malik Simmons', 'Dion Strowhorn Sr.', 'Giota Trakas', 'Scott M. Yaffee']","['Comedy', 'Drama', 'Romance']",['us'],['en'],PG-13,,"$20,082,809, 23 Mar 2008",,4.3,6326.0,21 Mar 2008 (USA),Meet the Browns,Tyler Perry,Tyler Perry,,Tim Andrew,Roger M. Bobb,The Tyler Perry Company,,Aaron Zigman,Maysie Hoy,Sandi Sissel,Lance Totten,Roger M. Bobb,Jamie Baxter
College,tt0844671,844671.0,94,"['Drake Bell', 'Andrew Caldwell', 'Andree Moss', 'Carolyn Moss', 'Wendy Talley', 'Kevin Covais', 'Alona Tal', 'Ryan Pinkston', 'Brandi Gerard', 'Jessica Heap', 'Finch Nissen', 'Camille Mana', 'Haley Bennett', 'Nathalie Walker', 'Nick Zano', 'Gary Owen', 'Zach Cregger', 'Reggie Martinez', 'Deejay Buras', 'Ethan Tobman', 'Todd Voltz', 'Melissa Lingafelt', 'Brandy Blake', 'Ava Knighten Santana', 'Nick Erickson', 'Wallace Merck', 'Stephanie Honoré', 'Marissa Morgan', 'Tracy Mulholland', 'Romeo Clarke', 'Valentina Vaughn', 'Heather Vandeven', 'Verne Troyer', 'Lisa Morrison', 'Earl Maddox', 'Amanda Abadie', 'Michael J. Gaeta', 'Barbara Balentine', 'Michael P. Cahill', 'Michael Dardant', 'Krystina Fisher', 'Travis Fontenot', 'Jenifer Rebecca Foster', 'Geraldine Glenn', 'Elton LeBlanc', 'Armando Leduc', 'Cynthia Leigh', 'Jessica Luebe', 'Kara Mann', 'Sami Naveed', 'Brian Pitt']",['Comedy'],['us'],['en'],R,6500000.0,"$2,619,730, 31 Aug 2008",,4.6,11813.0,21 Aug 2008 (Israel),College,Deb Hagan,Dan Callahan,Adam Ellison,Kimberly Calhoun Boling,Julie Dangel,Element Films,L.I.F.T. Production,Transcenders,David Codron,Dan Stoloff,Dorree Cooper,Jason Altieri,
Mum,tt1358459,1358459.0,38,,"['Documentary', 'Short']",['ca'],"['en', 'hu']",,,,,,,,Mum,Julia Creet,Julia Creet,,Julia Creet,,Julia Creet Productions,,Don Pyle,Wrik Mead,,,,
Maya,tt2093183,2093183.0,8,,['Short'],['in'],['hi'],,,,,,,,Maya,Shakeel Mohammed,,,,,Satyajit Ray Film and Television Institute,,,,,,,
Girlfriend Experience,tt1020022,1020022.0,,"['David Lewis', 'Ivy Vine', 'Emma Lahana', 'Tara Frederick', 'Bill Dow', 'Krystal Vrba', 'Andrew Zachar', 'Danielle Munro', 'Valerie Pauwels', 'Bo Fred Olsson', 'Nicola Anderson', 'Candace Chase', 'Diana Bilkevitch', 'Colby Wilson', 'Raf Rogers', 'Sebastien Archibald', 'Drew McEwan', 'Rosalyn Taylor', 'Kim Cabral', 'Mandy More', 'Brian Anderson', 'Brock Shoveller', 'Ethel Pitchford', 'Lila Klaiman', 'Alia Domino', 'Joel Lafortune', 'Daniel St. Andrews', 'Farrah Aviva', 'Paul Shottner', 'Alana McFarlane', 'Katherine Coupland', 'Fulvio Cecere', 'Suzan Nowaczynski', 'Dan Ellis', 'Bob Frazer', 'Jason Griffith', 'Hiro Kanagawa', 'David Lovgren', 'John Murphy', 'David Pauls', 'Sandy Robson', 'Drew Scott', 'David Stuart', 'Nathan Dashwood', 'Attila']",['Drama'],"['us', 'ca']",['en'],,,,,4.8,260.0,06 Dec 2008 (Canada),Girlfriend Experience,Ileana Pietrobruno,Ileana Pietrobruno,,Ileana Pietrobruno,Krista Thompson,,,,Ileana Pietrobruno,John Houtman,,,
Pilgrim's Progress,tt1000768,1000768.0,105,"['Daniel Kruse', 'Jeremiah Guelzo', 'Hugh McLean', 'Reid Dalton', 'Rodney Harter', 'Adam Salvia', 'Bob Burchette', 'David Partie', 'Leroy Helferstay', 'Michael Mellion', 'MaryBeth Hampton', 'Mark Anderson Phillips', 'Mauresa Guelzo', 'Katie Kruse', ""Kera O'Bryon"", 'Neal Brasher', 'Jon Pelletier', 'Jamie Ridgeway', 'Barry Ellenberger', 'Lee Wood', 'Al Mason', 'Lauren Hudson', 'Eric Holloway', 'Mitch Lusas', 'Don Brooks', 'Jason Leveret', 'Danielle Roseau', 'Rachel Guelzo', 'Bruce Carey', 'Paul Stober', 'Tony Quaranta', 'Renee Ruth Peckham', 'Dan Vollmer', 'Rachel Marcussen', 'Jack Davis', 'Micah David Solovskoy', 'Joshua Daniel Solovskoy', 'Lynn Suwala', 'Daniel Currie', 'Lisa Dunn', 'Michele Campbell', 'John Johnson', 'Audrey Gray', 'Russ Stine', 'Gloria Connor', 'Rick Hite', 'Kevin S. Dodgion', 'Jonathan Phillips', 'Terry Jernigan', 'Chris Gulluscio', 'Ray Hammack', 'Marc A. Hutchins', 'Sieglinde Irby', 'Philip Keith', 'Larry Welborm', 'Peggy Welborm', 'Alexander McPherson']","['Adventure', 'Fantasy']",['us'],['en'],,,,,6.1,288.0,2008 (USA),Pilgrim's Progress,Danny Carrales,John Bunyan,,Michele Campbell,Danny Carrales,DRC Productions,,Matt Gates,James Burgess,James Burgess,,Joshua Daniel Solovskoy,Dana Burman
Stella,tt1174047,1174047.0,103,"['Léora Barbara', 'Mélissa Rodriguès', 'Laëtitia Guerard', 'Karole Rocher', 'Benjamin Biolay', 'Guillaume Depardieu', 'Johan Libéreau', 'Jeannick Gravelines', 'Valérie Stroh', 'Thierry Neuvic', 'Anne Benoît', 'Christophe Bourseiller', 'Nicolas Janny', 'Christel Dewynter', 'Yolaine-Anne Gliott', 'Clémence Lassalas', 'Laura Martin-Bassot', 'Inès Ferrer', 'Maxence Thorey', 'William Wayolle', 'Marceau Gorce', 'Alexandre Ducrocq', 'Axel Torque', 'Jacky Roure', 'Farid Djouassi', 'Karim Canama', 'Bruno Guillot', 'Walter Shnorkell', 'Emma Chicotot', 'Dominique Derose', 'Marie Hennerez', 'Miguel Benasayag', 'Angélique Benassayag', 'Marc Bodziac', 'Thomas Grézaud', 'Paula Edda Klein', 'Myriam Riviere-Anissa']",['Drama'],['fr'],['fr'],,,,,7.2,1386.0,12 Nov 2008 (France),Stella,Sylvie Verheyde,Sylvie Verheyde,,Sarah Benoliel,Bruno Berthemy,Les Films du Veyrier,Arte France Cinéma,,Christel Dewynter,Nicolas Gaurin,,Christelle Lahaye,Fred Roz
The Uninvited,tt0942904,942904.0,97,"['Marguerite Moreau', 'Brittany Curran', 'Colin Hay', 'Donna W. Scott', 'Jillian Bach', 'Michael Emanuel', 'Gregorio', 'Phalana Tiller', 'Linda Larson', 'Marion Kelly']","['Horror', 'Thriller']",['us'],['en'],Unrated,,,,4.0,712.0,2008 (USA),The Uninvited,Bob Badway,Bob Badway,,Michael Emanuel,Jasper Jan,Canal Street Films,,Ken Mazur,Joaquin Montalvan,Igor Meglic,,Julia Lennon,
Solitaire,tt0478268,478268.0,90,"['Marilyn Chambers', 'Nick Jandl', 'Alex Fraioli', 'Short Sleeve Sampson', 'Juliana Fraioli', 'James Margelony', 'Kenny Harris', 'Anthony Goes', 'Dave Kane', 'Richard DeAgazio', 'Vin Fraioli', 'Coleen Galvin', 'Rand Alan Sabatini']","['Action', 'Drama', 'Mystery']",['us'],['en'],Unrated,250000.0,,,7.1,24.0,,Solitaire,Frank Durant,Frank Durant,,Frank Durant,Vin Fraioli,,,Grant Maloy Smith,Christian de Rezendes,Christian de Rezendes,,Luke Allard,
Goliath,tt1151339,1151339.0,80,"['David Zellner', 'Nathan Zellner', ""Caroline O'Connor"", 'Carlos Aguirre', 'Charles Bryant', 'John E. Bryant', 'Andrew Bujalski', 'David Finch', 'Tonya Fulcher', 'Justin Lincoln', 'Chale Nafus', 'Chris Ohlson', 'Bob Sabiston', 'Nick Smith', 'Wiley Wiggins']",['Comedy'],['us'],['en'],Not Rated,,,,5.1,365.0,,Goliath,David Zellner,David Zellner,,Nathan Zellner,,,,René Jones-Jones,Nathan Zellner,Jim Eastburn,,,
Blessed,tt1430137,1430137.0,83,"['James Nesbitt', 'Natascha McElhone', 'Gary Lewis', 'Lil Woods', 'Tom Bennett', 'Philip Bird', 'Ken Bradshaw', 'Matthew Cottle', 'Simon Fairnington', 'Charlotte Green', 'Romy Irving', 'Rosanna Lavelle', 'Toby Longworth', 'Peggy Nesbitt', 'Iain Stuart Robertson', 'Maarten Stevenson']",['Drama'],['gb'],['en'],,,,,6.2,200.0,24 Oct 2008 (UK),Blessed,Mark Aldridge,Mark Aldridge,,Mary Aldridge,Cindy Irving,STORM Pictures,,Mike Moran,Nick Arthurs,Steve Weiser,,Olly Robinson,
Får jag lov: Till den sista dansen?,tt2287741,2287741.0,73,"['Bo Arbjörk', 'Ingela Arbjörk', 'Dennis Janebrink', 'Bo Liljedahl', 'Kjell Malmborg', 'Lars Nordh', 'Staffan Olofsson', 'Hans Sidén']",['Documentary'],['se'],['sv'],,,,,7.2,5.0,22 Feb 2008 (Sweden),Får jag lov: Till den sista dansen?,Joakim Jalin,Joakim Jalin,,Annika Hellström,Joakim Jalin,Cinenic Film,Film i Jämtland,,Joakim Jalin,Daniel Friström,,,
Tangerine,tt1352455,1352455.0,95,"['Sabrina Ouazani', 'Nora von Waldstätten', 'Naima Bouzid', 'Alexander Scheer', 'Nohad Sabri', 'Saidaa Lachir', 'Kawtar Hadine', 'Till Trenkel', 'Paul Twardawa', 'Said Bey', 'Said Bekouri', 'Jamal Nouman', 'Ahmed Houssaini Doukkali', 'Omar Raissouli', 'Rachid Alaoui', 'Abdelkader Dourkan', 'Charmouti Laarbi', 'Zouhir Ben Ali', 'Abdeslam Haiko Sanhaji', 'Rachida Marrakechi', 'Zineb', 'Lhoussien Mellali', 'Cherie Nutting']",['Drama'],"['de', 'ma']","['fr', 'ar', 'en', 'de']",,,,,6.3,77.0,14 May 2009 (Germany),Tangerine,Irene von Alberti,Irene von Alberti,,Karim Debbagh,Frieder Schlaich,Filmgalerie 451,Kasbah Films,Zeid Hamdan,Silke Botsch,Birgit Möller,,Jaouad El Kacimi,Philipp Großmann
Nagaram,tt1285129,1285129.0,148,"['Ajay', 'Ali', 'Jagapathi Babu', 'Raghu Babu', 'Bhuvaneswari', 'Brahmanandam', 'Chinna', 'Gundu Hanumantha Rao', 'Kaveri Jha', 'Ashok Kumar K.', 'Manisha Koirala', 'Sriram L.B.', 'Venu Madhav', 'Kalabhavan Mani', 'Sivaji Raja', 'Satyam Rajesh', 'Rajitha', 'Jayaprakash Reddy', 'Subbaraya Sarma', 'Pradeep Singh Rawat', 'Srikanth', 'Meka Srikanth', 'Dharmavarapu Subramanyam', 'Ravi Verma', 'Narsing Yadav']",['Action'],['in'],['te'],,,,,4.7,23.0,06 Mar 2008 (India),Nagaram,Srinivas C.C.,,,,,Blue Sky Entertainment,,Chakri,Gautham Raju,Sharath,,,Balaji Muppalla
Histeria,tt1307930,1307930.0,90,"['Liyana Jasmay', 'Adipura', 'Ainul Aishah', 'Noris Ali', 'Ramli Hassan', 'Vanida Imran', 'Ako Mustapha', 'Naftalya', 'Namron', 'Ameliia dyah ayu Pamukir', 'M. Rajoli', 'Adlin Aman Ramlee', 'Reanna', 'Kazaar Saisi', 'Adman Salleh', 'Scha']",['Horror'],['my'],['ms'],,,,,5.7,136.0,18 Dec 2008 (Malaysia),Histeria,James Lee,Fahmi Fadzil,,Gayatri Su-Lin Pillai,,Tayangan Unggul,,Nurzaidi Bin Abd Rahman,Akashdeep Singh,Helmi Yusof,,,
Pasajeros,tt1649779,1649779.0,120,"['Pietro Sibille', 'Marcelo Rivera', 'Monica Sanchez', 'Eduardo Cesti', 'José Miguel Arbulú', 'Rafael Brossiers', 'Sandro Calderón', 'Natalia Cardenas', 'Aldo Castellanos', 'Koki Castilla', 'Daniel Cerda', 'Iván Chávez', 'Ismael Contreras', 'Bernardo Felman', 'Angela Gutierrez', 'Yamir Londres', 'Marcial Mattheus', 'Mario Mendoza', 'Clemen Morales', 'Kike Ortiz', 'Marisela Puicón', 'Paul Ramirez', 'Roberto Rengifo', 'Jhony Ruiz', 'Wilfredo Santos', 'Gilberto Torres', 'Raian Valencia', 'Mario Velasquez', 'Javier Vila', 'Jhon Villanueva', 'Américo Zuñiga']",['Drama'],['pe'],['es'],Not Rated,,,,5.6,9.0,16 Oct 2008 (Peru),Pasajeros,Andrés Cotler,,,Roxana Araoz,Elart Coello,,,Frank Edgar,Andrés Cotler,Pili Flores-Guerra,,,
La leyenda,tt1236438,1236438.0,95,"['Pablo Rago', 'Benjamín Rojas', 'Leonora Balcarce', 'Carlos Belloso', 'Osvaldo Santoro', 'Benjamín Amadeo', 'Luis Luque', 'Marcelo Mazzarello']",['Action'],['ar'],['es'],,,,,5.3,101.0,20 Nov 2008 (Argentina),La leyenda,Sebastián Pivotto,,,Pablo Bossi,Juan Pablo Buscarini,Pampa Films,,,Germán Cantore,Hector Morini,,Nicolás Giussani,Andrei Delgado
Forbidden Love,tt1286677,1286677.0,90,"['Beren Saat', 'Kivanç Tatlitug', 'Nebahat Çehre', 'Hazal Kaya', 'Nur Fettahoglu', 'Ilker Kizmaz', 'Selçuk Yöntem', 'Zerrin Tekindor', 'Batuhan Karacakaya', 'Rana Cabbar', 'Baran Akbulut', 'Fatma Karanfil', 'Evren Duyal', 'Pelin Ermis', 'Ufuk Kaplan', 'Zerrin Nisanci', 'Recep Aktug', 'Gülsen Tuncer', 'Eda Özerkan', 'Gülizar Irmak', 'Inanç Benlioglu', 'Burçin Oraloglu', 'Zerrin Arbas', 'Hayal Köseoglu', 'Alay Cihan', 'Adem Yavuz Özata', 'Yener Sezgin', 'Dilhan Naz Özgülüs', 'Selim Makaroglu', 'Burcu Kutluk', 'Neslihan Maltepe', 'Münir Akça', 'Toygun Ates', 'Ökkes Avgin', 'Muharrem Bayrak', 'Dogus', 'Ekrem Ispir', 'Hakan Korkmazyürek', 'Ugur Tekin', 'Erdogan Tutkun', 'Alper Türedi', 'Nihan Özcan', 'Coskun Özmeriç', 'Dilara Öztunç', 'Tolga Öztürk', 'Berrin Aktug', 'McKinley Anthony']","['Drama', 'Romance']",['tr'],['tr'],,,,,7.3,9883.0,,Forbidden Love,,,,,,Ay Yapim,,,,,,,
Making of 'Der Freund',tt1310652,1310652.0,23,"['Johanna Bantzer', 'Florian Engelhardt', 'Philippe Graber', 'Micha Lewinsky', 'Michel Voïta']",['Short'],['ch'],['gsw'],,,,,,,,Making of 'Der Freund',Luca Zuberbuehler,,,Luca Zuberbuehler,,Langfilm,Lucut,Martin Haene,Luca Zuberbuehler,Luca Zuberbuehler,,,
Carnivore,tt1308102,1308102.0,,"['Carlo Aquino', 'Cherry Malaya']",['Drama'],['ph'],['fil'],,,,,5.3,12.0,,Carnivore,Ato Bautista,,,,,Reality Entertainment,,Tirso Ripoll,,,,Jason Donato,
Into the Labyrinth,tt1404693,1404693.0,76,"['Jackie Burroughs', 'Bryan Van Dusen', 'Ali Adatia', 'Alexandra Elle', 'Heyling Agilar', 'Linda Camp', 'Anandan Carvalho', 'Natalie Donnelly', 'Margaret Dunajewski', 'Peter Dunajewski', 'Philip Golebiewski', 'Anna Hadrysiak', 'Josh Koffman', 'Nina Leo', 'Nolan Mandel', 'John Mcloud', 'Davina Nathan', 'Gabriel Sepahi', 'Reza Sepahi', 'Daniel Shapira', 'Elena Solano', 'Keneth Solano', 'Carlos Jose Solis Rojas', 'Gordon Van Dusen']","['Drama', 'Fantasy', 'Music']",['ca'],['en'],,50000.0,,,,,,Into the Labyrinth,Jarek Obsadny,Ovid,,Obsadny Jarek,Benjamin Nathan,LastChannel & Ghetto Panda,,Luedeke Raymond,Obsadny Jarek,Jarek Obsadny,,,
