Name,ID
Joel McNeely,0006193
Phil Collins,0002015
Byung-woo Lee,0496933
Iva Davies,0203762
Alex Parker,0662033
Wayne Bell,0068580
Eban Schletter,0772299
Robert Rodriguez,0001675
Shirley Walker,0002980
François-Eudes Chanfrault,1268359
Hilmar Örn Hilmarsson,0385180
Greg De Belles,0004497
Steve Jablonsky,0413011
Greg Siff,0797373
Reinhard Besser,0078802
Charlie Gartner,2501499
Ji Bark,1564702
Lee John Blackmore,5755596
Francis Shaw,0789717
Jimmy Harry,0366050
David Byrne,0126154
Curt Sobel,0811749
Steve Harwell,1035483
Andrey Dergachev,1435137
Jeremy Sams,0760255
David Hillenbrand,0384862
Stephin Merritt,0581445
Francesco Santucci,0764354
DJ Quik,0703558
John Van Tongeren,0888113
Benoît Charest,0152844
Moonriders,1499984
Elvis Costello,0004845
Keiichi Suzuki,0840608
Nina Humphreys,0402016
DJ Kore,1319265
Jeremy Enigk,1206738
Mark Suozzo,0839438
Jimmy Jam,0005047
Richard Blackford,0085685
Alfonso de Vilallonga,0897350
Paul Zaza,0006344
Doug DeAngelis,1132130
Jeppe Kaas,0433967
Neo,7650793
Emilio Estefan Jr.,0261555
J Bateman,1405961
Hong-jip Kim,0453469
James Johnzen,1764492
Dario Marianelli,0547050
Vishal Bhardwaj,0080235
Eazer Pastor,2801695
Seung-Hyun Choi,3721584
Thoersi Argeswara,1220207
Christopher Hoag,0387426
Marco Prince,0697683
Stuart Matthewman,0559915
Lanny Cordola,0179616
Terry Huud,0404698
Pierre Aviat,1383048
Lex de Azevedo,0207185
André Abujamra,0009494
Van Dyke Parks,0663026
Evanthia Reboutsika,0714377
Bob Dylan,0001168
Richard Grassby-Lewis,0335866
Stephen Hilton,0385311
Andy Cowton,0184880
Marcel Barsotti,0058319
Ezio Bosso,0098174
Ramin Djawadi,1014697
Michael Cohen,2159995
Mark McKenzie,0571574
Bobby Johnston,0426547
Melly Goeslaw,1129188
Carl Johnson,0424710
Thomas Knak,1380562
Alex Kendrick,1731937
Albin De La Simone,1379707
Shaun Cromwell,1419864
M.M. Keeravani,0444807
Robin Guthrie,1310112
Gerry Hale,0994167
Matt Fletcher,1194507
Michal Jacaszek,4248366
Misao Senbongi,1399157
Mani Sharma,0788886
Vishal Dadlani,1318670
Terry Frewer,0294520
The Notwist,1574308
Saibal Basu,1492098
Deepak Dev,1419961
Joan Díaz,9160870
Guy Barker,0054891
Igor Leonardi,1327428
Mundell Lowe,0523010
Béatrice Thiriet,0858204
Dennis Therrian,1025388
Mahesh Shankar,1635306
Martin Todsharow,0865427
Jason Peri,1676423
Jeff Cardoni,1132022
Fergus Black,2592068
Gábor Berkes,0075376
Bob Wiseman,0918760
Ricky Del Rosario,1908087
Paul Cristo,0188149
Nino Rota,0000065
João Paulo Mendonça,1150011
Juan Pablo Muñoz Zielinski,0616350
Will Grega,1292468
Stefan Jungmair,1454820
Stelvio Cipriani,0006008
Pascal Nabit Meyer,0583304
Lincoln Lo,0516317
Valerio Fantozzi,0266956
Davor Rocco,0733681
Wendall J. Yuponce,0950996
Von De Guzman,1438221
Amin Bouhafa,5251743
John Nagy,4884593
Addie M.S.,1323507
Shawkat Ali Emon,4683919
Ryûta Masuyama,1984977
Robert Egües,1527010
Yuuji Kitano,5342785
Matt Camison,1298512
Christy Coobatis,0176834
Mick Baumeister,0062288
Glenn Scott Lacey,1011499
Swarup Nayak,3376661
Emilio Valle,1601827
Julian Maurice Moore,1257967
David Buckley,1384267
Kwong-tim Lam,2601662
Ahmed Imtiaz Bulbul,4539598
Olivier Florio,1314299
Takayoshi Tarui,2766859
Snake,3450422
Alan Bernhoft,1480662
Colty Harrison,3822803
Sylvain Freyermuth,1175462
Zubeen Garg,0958276
Slava Kurashov,1203228
Zoltan Vegh,2775698
Willie Conrad,1486227
Chang-hee Han,3290740
Ferdinand Försch,0286827
Eric Colvin,0173434
Michael Felton,0271652
Dimitris Theocharis,1437800
Albert Marlowe,2026225
Kevin Gerzevitz,1435528
Pyotr Ilyich Tchaikovsky,0006318
Seyed Mohammad Mirzamani,1459506
De Kift,1323282
Peter G. Adams,1947932
Randal Corsen,1410440
Tanja Duru,4413593
Dan Crane,1536558
Il Kommander Gelatinoso Ninja,3973765
Nabin Chatterjee,9069755
Tommy Eyre,1123768
Ryan Latham,8310539
Chakri,1178313
Armen Rizal Rahman,8001864
Charles Chaplin,0000122
Jürgen Kramlofsky,1017067
Joydeb Sen,3394243
Dan Mudford,0610935
John Swihart,1067825
Charlie Clouser,0167197
Stephan Zacharias,0951598
Michael Suby,1225820
Vangelis,0006331
Ilan Eshkeri,1011065
Steve Belfer,1502076
Stephen Chow,0159507
Jared Lee Gosselin,7335459
Afro Celt Sound System,2148374
Deborah Lurie,0527091
Shane Carruth,1503403
Machine Head,1573324
Nerida Tyson-Chew,0879198
Christopher Libertino,0508845
Nathan Barr,0056550
John Altman,0022904
Hugo de Chaire,1729961
Shigeru Umebayashi,0880839
Alison Goldfrapp,2072094
Aphex Twin,0416869
Harold Budd,0118912
Alan Menken,0579678
Kyle Field,1747551
Jennie Muskett,0006367
Tuomas Kantelinen,0437887
Marco Castoldi,1064906
Jocelyn Pook,0690772
Alexander Hacke,0352391
Mick Jagger,0001396
Walter W. Cikan,0162263
John Colby,5344308
Richard G. Mitchell,0593674
Bastide Donny,2015555
Nigel Hess,0381511
Slvian,1720466
Ivor Guest,0996990
Peter Peter,0676238
Kurt Swinghammer,0842713
Indian Ocean,2342911
Devrim Karaoglu,10924925
Nitin Sawhney,0768095
Ranjit Barot,0056427
Gontiti,1626743
Stewart Wallace,0908872
Andrew Dickson,0225614
Stevan Mena,1496042
Sigur Rós,1460176
Pasquale Catalano,0145840
Enrica Antonioni,0031415
Steven Bramson,0104280
Tenmon,1399356
Yuriy Poteenko,0693085
Sanjeev Kohli,1279969
Vincent Cahay,1645853
Stefan Nilsson,0006216
